iso3,cod,grupo,pct,n
HND,38,Alcohólicos,0.1,1
MEX,10,Pobres,36.0,372
MEX,2,Indígenas,24.8,257
MEX,23,Mujeres,6.1,65
MEX,24,Viejos,5.7,59
MEX,20,Homosexuales,4.8,47
MEX,96,Otros,4.2,44
MEX,11,Inmigrantes (en general),3.5,37
MEX,18,Discapacitados,3.3,32
MEX,97,Ninguna (no hay personas o grupos de personas discriminadas),3.0,30
MEX,33,Personas en situación de calle/ indigentes,1.7,19
MEX,1,Negros o afrodescendientes,1.4,14
MEX,32,Madres solteras,1.4,13
MEX,34,Campesinos/ personas que trabajan el campo,1.3,12
MEX,5,Mestizos,0.6,6
MEX,21,Drogadictos,0.6,5
MEX,25,Jóvenes,0.5,5
MEX,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.4,3
MEX,26,Analfabetos / sin educación,0.3,3
MEX,30,Pertenecen a grupos feministas,0.3,3
MEX,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.2,3
MEX,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.1,1
NIC,97,Ninguna (no hay personas o grupos de personas discriminadas),26.0,189
NIC,10,Pobres,18.3,131
NIC,28,"Pertenecen a algún partido político (comunista, socialista etc)",13.1,97
NIC,20,Homosexuales,10.8,80
NIC,96,Otros,9.4,68
NIC,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,5.3,38
NIC,23,Mujeres,3.2,23
NIC,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,2.3,17
NIC,1,Negros o afrodescendientes,2.2,17
NIC,2,Indígenas,2.0,14
NIC,24,Viejos,1.8,13
NIC,18,Discapacitados,1.1,8
NIC,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.8,6
NIC,34,Campesinos/ personas que trabajan el campo,0.8,6
NIC,33,Personas en situación de calle/ indigentes,0.7,5
NIC,11,Inmigrantes (en general),0.6,4
NIC,25,Jóvenes,0.5,4
NIC,19,Enfermos de SIDA,0.3,2
NIC,26,Analfabetos / sin educación,0.3,2
NIC,3,Blancos,0.1,1
NIC,21,Drogadictos,0.1,1
NIC,32,Madres solteras,0.1,1
NIC,38,Alcohólicos,0.1,1
PAN,2,Indígenas,23.3,198
PAN,97,Ninguna (no hay personas o grupos de personas discriminadas),17.4,148
PAN,10,Pobres,16.7,142
PAN,96,Otros,10.3,88
PAN,1,Negros o afrodescendientes,8.3,71
PAN,20,Homosexuales,7.8,66
PAN,11,Inmigrantes (en general),4.5,38
PAN,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,2.2,19
PAN,39,Personas discriminadas por su raza (sin especificar),1.6,14
PAN,28,"Pertenecen a algún partido político (comunista, socialista etc)",1.1,9
PAN,33,Personas en situación de calle/ indigentes,1.1,9
PAN,24,Viejos,0.9,8
PAN,4,Mulatos,0.8,7
PAN,18,Discapacitados,0.7,6
PAN,13,Inmigrantes de Venezuela,0.5,4
PAN,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.5,4
PAN,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.4,3
PAN,5,Mestizos,0.2,2
PAN,6,Asiáticos (Chinos/ japoneses),0.2,2
PAN,23,Mujeres,0.2,2
PAN,26,Analfabetos / sin educación,0.2,2
PAN,34,Campesinos/ personas que trabajan el campo,0.2,2
PAN,3,Blancos,0.1,1
PAN,12,Inmigrantes de países de América Latina,0.1,1
PAN,14,Inmigrantes de Colombia,0.1,1
PAN,19,Enfermos de SIDA,0.1,1
PAN,25,Jóvenes,0.1,1
PAN,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.1,1
PAN,32,Madres solteras,0.1,1
PER,10,Pobres,35.4,363
PER,2,Indígenas,15.9,163
PER,97,Ninguna (no hay personas o grupos de personas discriminadas),9.7,100
PER,96,Otros,6.0,62
PER,20,Homosexuales,5.9,61
PER,1,Negros o afrodescendientes,5.5,56
PER,34,Campesinos/ personas que trabajan el campo,2.9,30
PER,24,Viejos,2.6,27
PER,11,Inmigrantes (en general),2.5,26
PER,18,Discapacitados,2.4,25
PER,13,Inmigrantes de Venezuela,2.1,22
