iso3,region,latam,wave,year,studies,declarado,n_declarado,declarado_inmig,visto,n_visto,z_dec,z_visto,gap_z,visto_esperado,residuo
MEX,Latin America,True,6,2012,WVS,10.15,2000,11.55,15.99,1982,,,,,
MYS,Southeast Asia,False,6,2012,WVS,31.31,1300,59.69,6.89,1263,,,,,
NGA,Sub-Saharan Africa,False,6,2012,WVS,20.9,1759,20.12,13.97,1642,,,,,
NLD,Western Europe,False,6,2012,WVS,8.2,1902,19.61,5.39,1708,,,,,
NZL,"North America, Australia & New Zealand",False,6,2011,WVS,2.85,841,5.95,8.5,729,,,,,
PAK,South Asia,False,6,2012,WVS,15.69,1200,20.93,20.56,1174,,,,,
PER,Latin America,True,6,2012,WVS,9.25,1210,10.68,10.8,1141,,,,,
PHL,Southeast Asia,False,6,2012,WVS,21.63,1200,14.15,18.11,1156,,,,,
POL,Eastern Europe & Central Asia,False,6,2012,WVS,5.45,966,7.22,2.64,915,,,,,
PSE,Middle East & North Africa,False,6,2013,WVS,44.0,1000,39.9,10.92,952,,,,,
QAT,Middle East & North Africa,False,6,2010,WVS,8.78,1060,45.97,7.5,1059,,,,,
ROU,Eastern Europe & Central Asia,False,6,2012,WVS,23.47,1503,21.29,7.44,1277,,,,,
RUS,Eastern Europe & Central Asia,False,6,2011,WVS,17.26,2491,32.33,10.46,1499,,,,,
RWA,Sub-Saharan Africa,False,6,2012,WVS,3.47,1527,5.44,4.22,1091,,,,,
SGP,Southeast Asia,False,6,2012,WVS,12.64,1970,35.81,4.74,1865,,,,,
SVN,Eastern Europe & Central Asia,False,6,2011,WVS,10.94,1069,13.56,2.25,1023,,,,,
SWE,Western Europe,False,6,2011,WVS,2.82,1206,3.47,13.81,1172,,,,,
THA,Southeast Asia,False,6,2013,WVS,39.74,1200,58.16,3.59,949,,,,,
TTO,Caribbean,True,6,2010,WVS,1.5,999,6.81,9.35,952,,,,,
TUN,Middle East & North Africa,False,6,2013,WVS,16.93,1205,18.84,7.1,1127,,,,,
TUR,Eastern Europe & Central Asia,False,6,2011,WVS,35.79,1605,30.52,4.25,1601,,,,,
TWN,East Asia,False,6,2012,WVS,8.38,1238,20.22,3.32,1188,,,,,
UKR,Eastern Europe & Central Asia,False,6,2011,WVS,16.86,1500,19.34,3.46,858,,,,,
URY,Latin America,True,6,2011,WVS,1.6,1000,1.7,6.18,906,,,,,
USA,"North America, Australia & New Zealand",False,6,2011,WVS,5.62,2232,13.64,9.42,2194,,,,,
UZB,Eastern Europe & Central Asia,False,6,2011,WVS,14.0,1500,12.27,2.23,1255,,,,,
YEM,Middle East & North Africa,False,6,2014,WVS,34.0,1000,24.2,16.37,910,,,,,
ZAF,Sub-Saharan Africa,False,6,2013,WVS,19.21,3531,40.93,31.19,3407,,,,,
ZWE,Sub-Saharan Africa,False,6,2012,WVS,8.07,1500,13.69,5.18,1395,,,,,
AND,Western Europe,False,7,2018,WVS,3.88,1004,2.69,3.4,1001,-0.9631017755572207,-1.21071804600551,-0.24761627044828938,15.1490274424341,-11.7490274424341
ARG,Latin America,True,7,2017,WVS,2.74,1003,4.12,10.85,966,-1.0453072280980436,-0.3552070892440907,0.6901001388539528,15.251948092887215,-4.401948092887215
ARM,Eastern Europe & Central Asia,False,7,2021,WVS,27.82,2662,25.0,8.01,1125,0.7632127278000616,-0.6813347559826721,-1.4445474837827337,12.987693782918688,-4.9776937829186885
AUS,"North America, Australia & New Zealand",False,7,2018,WVS,3.85,1813,8.87,17.79,1782,-0.9652650769398738,0.44173868792694965,1.4070037648668234,15.151735880603919,2.63826411939608
BGD,South Asia,False,7,2018,WVS,32.32,1182,40.76,3.68,1088,1.087707935198047,-1.1785646140735373,-2.2662725492715845,12.581428057445866,-8.901428057445866
BOL,Latin America,True,7,2017,WVS,5.28,1800,10.22,16.02,2016,-0.8621477110334028,0.23848306464269298,1.1006307756760958,15.022633661175888,0.9973663388241114
BRA,Latin America,True,7,2018,WVS,1.38,1762,2.56,27.13,1609,-1.1433768907783237,1.5142853102291856,2.6576622010075095,15.374730623252335,11.755269376747664
CAN,"North America, Australia & New Zealand",False,7,2020,WVS,4.49,4018,8.76,21.39,4018,-0.9191146474432714,0.8551399556237431,1.7742546030670145,15.09395586631445,6.29604413368555
CHL,Latin America,True,7,2018,WVS,6.9,1000,13.16,29.84,949,-0.7453294363701282,1.825484597856494,2.570814034226622,14.876378000005673,14.963621999994327
COL,Latin America,True,7,2018,WVS,10.2,1520,14.08,8.82,1520,-0.5073662842782724,-0.5883194707508935,-0.08095318647262117,14.578449801325604,-5.758449801325604
CYP,Western Europe,False,7,2019,WVS,15.61,976,20.57,7.59,966,-0.11725093493980547,-0.7295649038806313,-0.6123139689408259,14.090028118034944,-6.500028118034944
CZE,Eastern Europe & Central Asia,False,7,2022,WVS,27.05,2721,48.54,17.86,1181,0.7076879923119619,0.4497770459099429,-0.257910946402019,13.057210362610704,4.802789637389296
DEU,Western Europe,False,7,2018,WVS,3.91,3608,5.42,9.8,1500,-0.9609384741745673,-0.47578245898898863,0.4851560151855787,15.146319004264281,-5.346319004264281
