"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"133179","Marten de Roon","1991-03-29","Netherlands","NLD","Netherlands","NLD","Zwijndrecht","Zwijndrecht, Netherlands","4,6405166","51,8162227","Defensive Midfield","Atalanta Bergamo","Serie A","True"
"580451","Martin Baturina","2003-02-16","Croatia","HRV","Switzerland","CHE","ZÃ¼rich","ZÃ¼rich, Switzerland","8,5410422","47,3744489","Attacking Midfield","Como 1907","Serie A","True"
"357003","Martin ErliÄ","1998-01-24","Croatia","HRV","Croatia","HRV","Zadar","Zadar, Croatia","15,2353257","44,1168594","Centre-Back","FC Midtjylland","Superliga","True"
"804885","Martin ExpÃ©rience","1999-03-09","Haiti","HTI","France","FRA","ChÃ¢teaubriant","ChÃ¢teaubriant, France","-1,3757282","47,7194057","Left-Back","AS Nancy-Lorraine","Ligue 2","True"
"316264","Martin Ãdegaard","1998-12-17","Norway","NOR","Norway","NOR","Drammen","Drammen, Norway","10,175642","59,6964936","Attacking Midfield","FC Arsenal","Premier League","True"
"495320","Martin Zlomislic","1998-08-16","Bosnia and Herz.","BIH","Bosnia and Herz.","BIH","PosuÅ¡je","PosuÅ¡je, Bosnia-Herzegovina","17,3271281","43,4712288","Goalkeeper","HNK Rijeka","SuperSport HNL","True"
"423440","MartÃ­n Zubimendi","1999-02-02","Spain","ESP","Spain","ESP","Donostia-San ...","Donostia-San ..., Spain","-1,9838889","43,3224219","Defensive Midfield","FC Arsenal","Premier League","True"
"500763","Marvin Keller","2002-07-03","Switzerland","CHE","England","ENG","London","London, England","-0,1277653","51,5074456","Goalkeeper","BSC Young Boys","Super League","True"
"830890","Marvin Senaya","2001-01-28","Ghana","GHA","France","FRA","Saint-Maurice","Saint-Maurice, France","7,3363439","48,3275249","Right-Back","AJ Auxerre","Ligue 1","True"
"1057857","Marwan Al-Sahafi","2004-02-17","Saudi Arabia","SAU","Saudi Arabia","SAU","Jeddah","Jeddah, Saudi Arabia","39,1742363","21,5504432","Left Winger","Royal Antwerpen FC","Jupiler Pro League","False"
"734542","Marwan Ateya","1998-08-12","Egypt","EGY","Egypt","EGY","Kafr El Dawwar","Kafr El Dawwar, Egypt","30,758663","31,0034478","Defensive Midfield","El Ahly Kairo","Egyptian Premier League","True"
"550829","Matej Kovar","2000-05-17","Czechia","CZE","Czechia","CZE","UherskÃ© HradiÅ¡tÄ","UherskÃ© HradiÅ¡tÄ, Czech Republic","17,4663899","49,0681018","Goalkeeper","PSV Eindhoven","Eredivisie","True"
"1066953","Mateo ChÃ¡vez","2004-05-12","Mexico","MEX","Mexico","MEX","San Pedro Garza ...","San Pedro Garza ..., Mexico","-100,4076726","25,6762346","Left-Back","AZ Alkmaar","Eredivisie","True"
"51471","Mateo Kovacic","1994-05-06","Croatia","HRV","Austria","AUT","Linz","Linz, Austria","14,286198","48,3059078","Central Midfield","Manchester City","Premier League","True"
"517894","Matheus Cunha","1999-05-27","Brazil","BRA","Brazil","BRA","JoÃ£o Pessoa","JoÃ£o Pessoa, Brazil","-34,882028","-7,1215981","Left Winger","Manchester United","Premier League","True"
"601883","Matheus Nunes","1998-08-27","Portugal","PRT","Brazil","BRA","Rio de Janeiro","Rio de Janeiro, Brazil","-43,2093727","-22,9110137","Right-Back","Manchester City","Premier League","True"
"126214","Mathew Leckie","1991-02-04","Australia","AUS","Australia","AUS","Melbourne","Melbourne, Australia","144,9631732","-37,8142454","Left Winger","Melbourne City FC","A-League Men","True"
"128969","Mathew Ryan","1992-04-08","Australia","AUS","Australia","AUS","Plumpton","Plumpton, Australia","150,8427778","-33,7566667","Goalkeeper","UD Levante","LaLiga","True"
