id,name,rank,ocupacion,lugar,lon,lat,fuente,iso3,iso3_geometria,pais,region
2003121,Quintus Caecilius Metellus Macedonicus,48686,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
3537270,Álvaro Cunqueiro,48706,WRITER,Mondoñedo,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
8203383,Zu Jia,48714,POLITICIAN,,,,sin dato en Wikidata,,,,
465853,Gaius Duilius,48715,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
4355940,Simon Hantaï,48718,PAINTER,Hungría,,,ciudadania (Wikidata),HUN,HUN,Hungary,Europa del Este/Asia Central
3996238,Fatmir Sejdiu,48728,POLITICIAN,Pakashticë,21.13333333,42.98333333,coordenada Pantheon,XKX,XKX,Kosovo,Europa del Este/Asia Central
443803,Appius Claudius Caudex,48729,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
628853,"Hugh III, Duke of Burgundy",48745,POLITICIAN,,,,sin dato en Wikidata,,,,
7881505,Neferkare Khendu,48760,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
512502,Tetricus II,48769,POLITICIAN,,,,sin dato en Wikidata,,,,
8261990,Beatrice of Vermandois,48772,POLITICIAN,,,,sin dato en Wikidata,,,,
7881715,Neferkare Pepiseneb,48780,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
236614,Aulus Gabinius,48799,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
328168,Gaius Popillius Laenas,48824,POLITICIAN,,,,sin dato en Wikidata,,,,
322258,Wiman of Gojoseon,48849,POLITICIAN,,,,sin dato en Wikidata,,,,
12924100,Ivan Gubkin,48904,GEOLOGIST,,,,sin dato en Wikidata,,,,
2275197,Vicente Calderón,48935,BUSINESSPERSON,Torrelavega,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
3373629,"William I, Count of Burgundy",48946,POLITICIAN,,,,sin dato en Wikidata,,,,
9368949,Ala ad-Din Tekish,48959,POLITICIAN,,,,sin dato en Wikidata,,,,
1157419,Rawhi Fattouh,48987,POLITICIAN,Rafah Camp,34.2532,31.28301944,coordenada Pantheon + alineado a Pantheon,ISR,PSE,Israel,Medio Oriente/N. Africa
13215645,Fatmire Alushi,49003,SOCCER PLAYER,Gjurakoc,20.47194444,42.72555556,coordenada Pantheon,XKX,XKX,Kosovo,Europa del Este/Asia Central
9950248,Gunhilda of Denmark,49016,COMPANION,,,,sin dato en Wikidata,,,,
3503957,David the Invincible,49026,PHILOSOPHER,,,,pais del lugar (Wikidata),TUR,TUR,Türkiye,Europa del Este/Asia Central
3285569,Merenhor,49034,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
1070864,Arnuwanda III,49053,POLITICIAN,Imperio hitita,,,ciudadania (Wikidata),TUR,TUR,Türkiye,Europa del Este/Asia Central
165116,Ealhmund of Kent,49127,POLITICIAN,,,,sin dato en Wikidata,,,,
6038809,Titus Manlius Imperiosus Torquatus,49164,POLITICIAN,,,,sin dato en Wikidata,,,,
4540021,Adalbert of Italy,49178,POLITICIAN,,,,sin dato en Wikidata,,,,
24333211,Ali ibn Hammud al-Nasir,49230,POLITICIAN,,,,sin dato en Wikidata,,,,
2562031,Abu Muhammad al-Maqdisi,49246,RELIGIOUS FIGURE,Nablus,35.26111111,32.22222222,coordenada Pantheon + alineado a Pantheon,ISR,PSE,Israel,Medio Oriente/N. Africa
1682492,Vologases II of Parthia,49316,POLITICIAN,,,,sin dato en Wikidata,,,,
16931531,Pausanias of Macedon,49337,POLITICIAN,,,,sin dato en Wikidata,,,,
1077024,Calgacus,49351,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
1070901,Arnuwanda I,49382,POLITICIAN,,,,sin dato en Wikidata,,,,
50728264,Olga Danilović,49390,TENNIS PLAYER,Serbia and Montenegro,-19.78,43.15,coordenada Pantheon (sin pais),,,,
2056221,Quintus Mucius Scaevola Pontifex,49404,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
2475535,Mithridates IV of Pontus,49437,POLITICIAN,,,,sin dato en Wikidata,,,,
30865112,Ramadan Shalah,49456,EXTREMIST,Shujaiya,,,pais del lugar (Wikidata) + alineado a Pantheon,ISR,PSE,Israel,Medio Oriente/N. Africa
382857,Marcus Manlius Capitolinus,49457,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
434750,Porcia,49496,PHILOSOPHER,Roma,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
842628,Antipope Philip,49499,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
403563,"Leo IV, King of Armenia",49539,POLITICIAN,,,,sin dato en Wikidata,,,,
12588549,Fan Ye,49543,POLITICIAN,,,,sin dato en Wikidata,,,,
1351585,King Yi of Zhou,49546,POLITICIAN,,,,sin dato en Wikidata,,,,
60725656,Nikolai Yevmenov,49555,MILITARY PERSONNEL,Moscú,37.6175,55.75055555555556,coordenada Wikidata,RUS,RUS,Russia,Europa del Este/Asia Central
3249737,Psammuthes,49556,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
1830835,Han Yong-un,49580,WRITER,,,,sin dato en Wikidata,,,,
4402034,Hiromi Taniguchi,49582,ATHLETE,Japón,,,ciudadania (Wikidata),JPN,JPN,Japan,Asia Oriental
837424,Gondophares,49583,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
56315354,Clàudia Pina,49595,SOCCER PLAYER,Moncada y Reixach,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
61954830,Walid Cheddira,49641,SOCCER PLAYER,Loreto,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
24144779,Al-Adil II,49681,POLITICIAN,,,,sin dato en Wikidata,,,,
8980086,Zu Geng of Shang,49687,POLITICIAN,,,,sin dato en Wikidata,,,,
4669303,"Isabella, Countess of Gloucester",49703,POLITICIAN,,,,sin dato en Wikidata,,,,
856297,Empress He,49713,COMPANION,,,,sin dato en Wikidata,,,,
1259823,Vítězslav Hálek,49721,WRITER,Dolínek,,,pais del lugar (Wikidata),CZE,CZE,Czechia,Europa del Este/Asia Central
9975024,Malik Muhammad Jayasi,49729,WRITER,,,,sin dato en Wikidata,,,,
1886811,Areus I,49737,POLITICIAN,Esparta,,,ciudadania (Wikidata),GRC,GRC,Greece,Europa Occidental
4137739,Ajita Kesakambali,49756,PHILOSOPHER,India,,,ciudadania (Wikidata),IND,IND,India,Asia del Sur
2097595,Eurydice I of Macedon,49766,POLITICIAN,,,,sin dato en Wikidata,,,,
4353399,Zidanta I,49775,POLITICIAN,,,,sin dato en Wikidata,,,,
16911580,Orestes of Macedon,49795,POLITICIAN,,,,sin dato en Wikidata,,,,
41623513,Brice Samba,49803,SOCCER PLAYER,Linzolo,,,pais del lugar (Wikidata),COG,COG,Republic of the Congo,Africa Subsahariana
4693435,Luigi Capello,49877,MILITARY PERSONNEL,Intra,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
6032786,Uppalavanna,49898,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
13058813,Doquz Khatun,49910,POLITICIAN,Mongolia,,,ciudadania (Wikidata),MNG,MNG,Mongolia,Asia Oriental
