iso3,region,task,n,d_implicito,cohens_d,explicito_pref,explicito_termometro
ESP,Western Europe,Skin-tone,4746.0,0.388,0.971,0.481,0.514
AUS,"North America, Australia & New Zealand",Skin-tone,11930.0,0.397,0.971,0.262,0.244
IND,South Asia,Skin-tone,2859.0,0.407,1.014,0.421,0.255
ARG,Latin America,Skin-tone,1541.0,0.409,0.986,0.588,0.597
HUN,Eastern Europe & Central Asia,Skin-tone,3536.0,0.43,1.096,0.715,1.111
TWN,East Asia,Skin-tone,574.0,0.432,1.223,0.665,-0.704
ISR,Middle East & North Africa,Skin-tone,1791.0,0.436,1.037,0.476,0.495
ROU,Eastern Europe & Central Asia,Skin-tone,332.0,0.45,1.144,0.684,1.21
ITA,Western Europe,Skin-tone,5940.0,0.453,1.154,0.435,0.413
CHN,East Asia,Skin-tone,4143.0,0.458,1.24,0.925,0.414
TUR,Eastern Europe & Central Asia,Skin-tone,1555.0,0.465,1.193,0.397,0.48
CZE,Eastern Europe & Central Asia,Skin-tone,960.0,0.508,1.311,0.749,1.067
JPN,East Asia,Skin-tone,5920.0,0.549,1.35,0.702,0.845
