country_code,country_name,region_code,region_name,reporting_level,year,welfare_type,mean,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
ROU,Romania,ECS,Europe & Central Asia,national,2021,consumption,18.153211850585,.276260822264,.035547368016,.051984614921,.063332789331,.074103880377,.084475566155,.095212477728,.107480813271,.123609283386,.147135075511,.217118131303
ROU,Romania,ECS,Europe & Central Asia,national,2021,income,29.804439130327,.338526495136,.019005684235,.041289740818,.055448303456,.069035562508,.081643742398,.095439858791,.108925793527,.13068925524,.158529019405,.239993039622
ROU,Romania,ECS,Europe & Central Asia,national,2022,income,30.341604400145,.323030362908,.018761293542,.039789976987,.058822939144,.073000170353,.085969634127,.098235078302,.111753164634,.131124637948,.156156511857,.226386593106
ROU,Romania,ECS,Europe & Central Asia,national,2023,income,32.655455456986,.298289433165,.023992342191,.045959858403,.062579053739,.075476739599,.086328569854,.09748151667,.110960420265,.127873429316,.151419009857,.217929060107
RUS,Russian Federation,ECS,Europe & Central Asia,national,1993,consumption,15.802393733615,.453854759986,.017505902608,.029011772712,.040188948374,.051592915694,.063839203043,.077792861372,.094963895757,.11867593535,.159322937022,.347105628068
RUS,Russian Federation,ECS,Europe & Central Asia,national,1996,consumption,15.908203064581,.460986289421,.016067684637,.028443351742,.040078874236,.051662117923,.063865134556,.077559028001,.094204098721,.116963674567,.155696460394,.355459575224
RUS,Russian Federation,ECS,Europe & Central Asia,national,1997,consumption,14.528895210866,.38409199114,.024119360675,.038663396666,.049468769661,.060081883003,.071450989091,.084094625027,.099804216582,.121745411958,.15665991281,.293911434525
RUS,Russian Federation,ECS,Europe & Central Asia,national,1998,consumption,13.069324766346,.381370038729,.023691354744,.038275735119,.049124835887,.059799588266,.071591925357,.085185813465,.102006955321,.124122418557,.160003097021,.286198276263
RUS,Russian Federation,ECS,Europe & Central Asia,national,1999,consumption,10.411399536478,.37443388519,.023972213642,.038722415759,.049655863563,.060599732351,.072422551203,.086214161882,.103426235998,.126725713538,.160912454552,.277348657514
RUS,Russian Federation,ECS,Europe & Central Asia,national,2000,consumption,11.40968742912,.370927422944,.024867844732,.039421079478,.050194366942,.060918088144,.072717592016,.086231813665,.102895342321,.125819909041,.160697305629,.276236658031
RUS,Russian Federation,ECS,Europe & Central Asia,national,2001,consumption,12.842705066931,.369249852816,.025785532912,.040387712733,.050890981882,.061092109617,.072325753824,.085601658225,.10170359643,.123951492459,.159724327502,.278536834416
RUS,Russian Federation,ECS,Europe & Central Asia,national,2002,consumption,14.23091971516,.372837692864,.026246913002,.040210108063,.050285545009,.060368545834,.071317895439,.084152668423,.100728104572,.124759410899,.160481451597,.281449357162
RUS,Russian Federation,ECS,Europe & Central Asia,national,2003,consumption,15.674859612588,.399715479535,.023745741502,.037038559431,.047038167969,.056905656659,.068046936137,.081043399643,.097594394262,.121601032155,.16379105825,.303195053992
RUS,Russian Federation,ECS,Europe & Central Asia,national,2004,consumption,16.90287997253,.403158317809,.023179538281,.036502727765,.046444526798,.056241028453,.067626420245,.081259223767,.098384974351,.122685174657,.162793142461,.30488324322
RUS,Russian Federation,ECS,Europe & Central Asia,national,2005,consumption,18.590595350534,.412655988176,.022648522524,.035737069102,.045583042659,.055230625995,.066096863231,.079379570151,.096795067774,.121277126111,.164936980148,.312315132306
RUS,Russian Federation,ECS,Europe & Central Asia,national,2006,consumption,20.243348501434,.409509405118,.023081931155,.035863217327,.045836428947,.055919667163,.066954417524,.079751448042,.096421861296,.120817960319,.162611638049,.312741430178
RUS,Russian Federation,ECS,Europe & Central Asia,national,2007,consumption,23.474907245035,.422724726882,.022762051861,.035091215592,.044685383188,.054249688231,.064753006933,.077333659829,.093786078185,.11796471708,.161738166445,.327636032655
RUS,Russian Federation,ECS,Europe & Central Asia,national,2008,consumption,25.975233908388,.415685837856,.024074620276,.036459388267,.045801942852,.055267723528,.065485213017,.077757608854,.0929773259,.116880488337,.16042927459,.324866414378
RUS,Russian Federation,ECS,Europe & Central Asia,national,2009,consumption,24.781440366474,.398456008944,.02572389501,.038330661287,.047924589969,.057516501269,.067673265087,.079660250591,.094534513978,.11763129011,.160182856364,.310822176336
RUS,Russian Federation,ECS,Europe & Central Asia,national,2010,consumption,26.655919976458,.395489775983,.025459956045,.038611145073,.048015239003,.057431483741,.068057199813,.080236423767,.096549683009,.119669470476,.159856186796,.306113212279
RUS,Russian Federation,ECS,Europe & Central Asia,national,2011,consumption,27.697958152592,.397493144004,.025811942714,.038745761718,.048133461513,.057329482019,.067615364746,.079703410871,.095195120046,.117696785051,.158709417287,.311059254034
RUS,Russian Federation,ECS,Europe & Central Asia,national,2012,consumption,29.143821965506,.407148269235,.025303581922,.038097152832,.047036928116,.056164601165,.066413329198,.078635341777,.094050236948,.115860524433,.156758636325,.321679667283
RUS,Russian Federation,ECS,Europe & Central Asia,national,2013,consumption,29.768959197805,.408844243493,.025628653618,.038073464137,.046829579395,.055861131483,.06598587116,.077974215993,.093623590661,.115971237308,.155567126821,.324485129424
RUS,Russian Federation,ECS,Europe & Central Asia,national,2014,consumption,29.230082943887,.398812218933,.026470412094,.039353483078,.04837335629,.057411527303,.067504533506,.079365044888,.094733732075,.115548588057,.152526819172,.318712503538
